Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,8900,Final,38.1,Atl
WR,Antonio Brown,8800,Final,31.3,Pit
WR,Odell Beckham Jr.,8800,Final,9.4,NYG
WR,Dez Bryant,8500,Final,9.8,Dal
QB,Aaron Rodgers,8300,Final,23.06,GB
WR,Calvin Johnson,8200,Final,5.9,Det
QB,Andrew Luck,8200,NYJ@Ind 08:30PM ET,19.72,Ind
QB,Drew Brees,7800,Final,20.5,NO
RB,Adrian Peterson,7700,Final,8.2,Min
RB,Matt Forte,7700,Final,30.6,Chi
QB,Tom Brady,7500,Final,27.62,NE
WR,A.J. Green,7500,Final,11.3,Cin
WR,Alshon Jeffery,7500,Final,12.8,Chi
QB,Matt Ryan,7400,Final,18.62,Atl
RB,Arian Foster,7400,Final,0,Hou
WR,Randall Cobb,7400,Final,14.8,GB
WR,DeAndre Hopkins,7400,Final,32.8,Hou
WR,Mike Evans,7400,Final,0,TB
RB,Jeremy Hill,7400,Final,18.3,Cin
TE,Rob Gronkowski,7300,Final,32.4,NE
QB,Russell Wilson,7300,Final,16.14,Sea
QB,Ben Roethlisberger,7200,Final,22.04,Pit
RB,Marshawn Lynch,7200,Final,17.4,Sea
QB,Cam Newton,7200,Final,13.5,Car
WR,T.Y. Hilton,7200,NYJ@Ind 08:30PM ET,15.8,Ind
RB,Eddie Lacy,7200,Final,17.9,GB
QB,Tony Romo,7100,Final,27.14,Dal
QB,Eli Manning,7100,Final,8.52,NYG
WR,Jordan Matthews,7100,Final,23.2,Phi
WR,Keenan Allen,7100,Final,34.6,SD
RB,DeMarco Murray,7000,Final,18,Phi
QB,Ryan Tannehill,7000,Final,12.74,Mia
WR,Brandin Cooks,7000,Final,9.3,NO
QB,Sam Bradford,6900,Final,18.44,Phi
QB,Matthew Stafford,6800,Final,15.74,Det
QB,Carson Palmer,6700,Final,28.68,Ari
QB,Philip Rivers,6700,Final,24.96,SD
WR,Julian Edelman,6700,Final,21.6,NE
QB,Colin Kaepernick,6600,Final,10.7,SF
RB,LeSean McCoy,6600,Final,11.7,Buf
WR,Brandon Marshall,6400,NYJ@Ind 08:30PM ET,18.2,NYJ
QB,Joe Flacco,6400,Final,2.68,Bal
QB,Teddy Bridgewater,6400,Final,9.84,Min
WR,Amari Cooper,6400,Final,9.7,Oak
WR,Golden Tate,6300,Final,6.4,Det
RB,Justin Forsett,6200,Final,9.6,Bal
WR,DeSean Jackson,6200,Final,0,Was
QB,Tyrod Taylor,6200,Final,15.9,Buf
WR,Sammy Watkins,6200,Final,0,Buf
RB,Andre Ellington,6100,Final,13.6,Ari
WR,Steve Smith Sr.,6000,Final,3.3,Bal
QB,Jay Cutler,6000,Final,15.1,Chi
QB,Marcus Mariota,6000,Final,24.96,Ten
RB,Mark Ingram,5900,Final,20.2,NO
WR,Jarvis Landry,5900,Final,20.7,Mia
WR,Roddy White,5800,Final,12.4,Atl
WR,Andre Johnson,5800,NYJ@Ind 08:30PM ET,6.4,Ind
TE,Jimmy Graham,5800,Final,17.1,Sea
QB,Andy Dalton,5800,Final,18.86,Cin
QB,Robert Griffin III,5800,Final,0,Was
RB,Latavius Murray,5800,Final,15,Oak
WR,Anquan Boldin,5700,Final,7.6,SF
RB,Doug Martin,5600,Final,6.4,TB
RB,Joseph Randle,5600,Final,13.7,Dal
QB,Jameis Winston,5600,Final,16.2,TB
QB,Ryan Fitzpatrick,5500,NYJ@Ind 08:30PM ET,14.06,NYJ
WR,Vincent Jackson,5500,Final,9.1,TB
RB,Jonathan Stewart,5500,Final,12.1,Car
QB,Nick Foles,5500,Final,20.98,StL
QB,Kirk Cousins,5500,Final,9.74,Was
QB,Derek Carr,5500,Final,3.24,Oak
RB,Lamar Miller,5500,Final,8.5,Mia
WR,Nelson Agholor,5500,Final,1.5,Phi
WR,Marques Colston,5400,Final,5.9,NO
WR,Larry Fitzgerald,5400,Final,14.7,Ari
WR,Mike Wallace,5400,Final,12.3,Min
WR,Torrey Smith,5400,Final,2.1,SF
QB,Geno Smith,5400,NYJ@Ind 08:30PM ET,0,NYJ
RB,DeAngelo Williams,5300,Final,17.2,Pit
QB,Matt McGloin,5300,Final,11.68,Oak
QB,Blake Bortles,5300,Final,11.92,Jax
QB,Brian Hoyer,5200,Final,11.44,Hou
QB,Johnny Manziel,5200,Final,11.78,Cle
QB,Josh McCown,5100,Final,3.26,Cle
WR,Eric Decker,5100,NYJ@Ind 08:30PM ET,11.7,NYJ
QB,Ryan Mallett,5100,Final,10.52,Hou
QB,Mike Glennon,5100,Final,0,TB
WR,John Brown,5100,Final,14.6,Ari
RB,Carlos Hyde,5100,Final,35.2,SF
QB,Matt Hasselbeck,5000,NYJ@Ind 08:30PM ET,0,Ind
QB,Michael Vick,5000,Final,0,Pit
QB,Matt Cassel,5000,Final,0,Buf
QB,Charlie Whitehurst,5000,Final,0,Ten
QB,Tarvaris Jackson,5000,Final,0,Sea
QB,Derek Anderson,5000,Final,0,Car
QB,Dan Orlovsky,5000,Final,0,Det
QB,Kellen Clemens,5000,Final,0,SD
QB,Shaun Hill,5000,Final,0,Min
QB,Matt Moore,5000,Final,0,Mia
QB,Drew Stanton,5000,Final,0,Ari
QB,Matt Schaub,5000,Final,0,Bal
QB,Luke McCown,5000,Final,0,NO
QB,Chad Henne,5000,Final,0,Jax
RB,Rashad Jennings,5000,Final,11.2,NYG
QB,Joe Webb,5000,Final,0,Car
QB,Mark Sanchez,5000,Final,0,Phi
QB,Colt McCoy,5000,Final,0,Was
QB,Scott Tolzien,5000,Final,0,GB
RB,C.J. Spiller,5000,Final,0,NO
QB,Case Keenum,5000,Final,0,StL
QB,Jimmy Clausen,5000,Final,0,Chi
RB,Alfred Morris,5000,Final,15.1,Was
QB,Brandon Weeden,5000,Final,0,Dal
WR,Pierre Garcon,5000,Final,13.4,Was
QB,Austin Davis,5000,Final,0,Cle
QB,Landry Jones,5000,Final,0,Pit
RB,LeGarrette Blount,5000,Final,0,NE
WR,Kendall Wright,5000,Final,23.1,Ten
QB,EJ Manuel,5000,Final,0,Buf
QB,Blaine Gabbert,5000,Final,0,SF
QB,Sean Renfree,5000,Final,0,Atl
QB,Ryan Nassib,5000,Final,0,NYG
QB,Ryan Griffin,5000,Final,0,TB
QB,Matt Barkley,5000,Final,0,Ari
QB,Zach Mettenberger,5000,Final,-0.5,Ten
QB,Bryce Petty,5000,NYJ@Ind 08:30PM ET,0,NYJ
QB,AJ McCarron,5000,Final,0,Cin
QB,David Fales,5000,Final,0,Chi
QB,Stephen Morris,5000,Final,0,Phi
QB,Garrett Grayson,5000,Final,0,NO
QB,Jimmy Garoppolo,5000,Final,0,NE
QB,Sean Mannion,5000,Final,0,StL
QB,Brett Hundley,5000,Final,0,GB
QB,Taylor Heinicke,5000,Final,0,Min
RB,Melvin Gordon,5000,Final,8.7,SD
TE,Greg Olsen,4900,Final,2.1,Car
WR,Allen Robinson,4900,Final,3.7,Jax
WR,Davante Adams,4900,Final,9.9,GB
RB,Frank Gore,4800,NYJ@Ind 08:30PM ET,5.1,Ind
WR,Victor Cruz,4800,Final,0,NYG
WR,Charles Johnson,4800,Final,4.7,Min
WR,Michael Floyd,4800,Final,2.8,Ari
RB,T.J. Yeldon,4800,Final,9.7,Jax
RB,Todd Gurley,4800,Final,0,StL
WR,James Jones,4700,Final,21.1,GB
RB,Chris Ivory,4700,NYJ@Ind 08:30PM ET,23,NYJ
WR,Rueben Randle,4700,Final,5.3,NYG
RB,Tre Mason,4700,Final,0,StL
WR,Breshad Perriman,4700,Final,0,Bal
RB,Joique Bell,4600,Final,6.1,Det
WR,Donte Moncrief,4600,NYJ@Ind 08:30PM ET,16.6,Ind
TE,Martellus Bennett,4500,Final,16.5,Chi
WR,Percy Harvin,4500,Final,19.8,Buf
RB,Giovani Bernard,4500,Final,14.8,Cin
TE,Julius Thomas,4500,Final,0,Jax
RB,Ameer Abdullah,4500,Final,19.4,Det
RB,Bishop Sankey,4500,Final,22.6,Ten
RB,Tevin Coleman,4500,Final,8,Atl
WR,Malcom Floyd,4400,Final,3.9,SD
RB,Benny Cunningham,4400,Final,16.2,StL
RB,Isaiah Crowell,4400,Final,5.3,Cle
TE,Jason Witten,4300,Final,26,Dal
RB,Darren McFadden,4200,Final,4.5,Dal
WR,Stevie Johnson,4200,Final,20.2,SD
WR,Doug Baldwin,4200,Final,10.5,Sea
RB,Shane Vereen,4200,Final,10,NYG
WR,Terrance Williams,4200,Final,11,Dal
TE,Tyler Eifert,4200,Final,34.4,Cin
RB,David Johnson,4200,Final,12.5,Ari
RB,Devonta Freeman,4200,Final,7.7,Atl
WR,Michael Crabtree,4100,Final,8.7,Oak
WR,Kenny Britt,4100,Final,5.7,StL
WR,Kenny Stills,4100,Final,2.2,Mia
TE,Austin Seferian-Jenkins,4100,Final,31,TB
RB,Danny Woodhead,4000,Final,22.2,SD
TE,Jordan Cameron,4000,Final,11.3,Mia
WR,Greg Jennings,3900,Final,5.9,Mia
WR,Dwayne Bowe,3900,Final,0,Cle
RB,Reggie Bush,3800,Final,0.8,SF
RB,Chris Johnson,3800,Final,3.7,Ari
WR,Markus Wheaton,3800,Final,10.5,Pit
WR,Allen Hurns,3800,Final,10,Jax
WR,Eddie Royal,3700,Final,1.8,Chi
TE,Jordan Reed,3700,Final,19.3,Was
RB,Alfred Blue,3700,Final,5.9,Hou
WR,Marqise Lee,3700,Final,0,Jax
WR,DeVante Parker,3700,Final,0,Mia
WR,Nate Washington,3600,Final,19.5,Hou
WR,Brian Quick,3600,Final,0,StL
RB,Ryan Mathews,3600,Final,11.8,Phi
WR,Jermaine Kearse,3600,Final,15.6,Sea
WR,Marvin Jones,3600,Final,3.9,Cin
