"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Darrel Young",3000,"Buf@Was 01:00PM ET",0.454,"Was"
"RB","Antone Smith",3000,"Chi@Min 01:00PM ET",0.220,"Chi"
"RB","Donald Brown",3000,"Mia@SD 04:25PM ET",1.171,"SD"
"WR","Jordan Norwood",3000,"Den@Pit 04:25PM ET",2.788,"Den"
"WR","Hakeem Nicks",3000,"Car@NYG 01:00PM ET",1.533,"NYG"
"RB","Marcel Reece",3000,"GB@Oak 04:05PM ET",5.346,"Oak"
"WR","Dwayne Harris",3000,"Car@NYG 01:00PM ET",8.331,"NYG"
"RB","Bruce Miller",3000,"Cin@SF 04:25PM ET",1.569,"SF"
"WR","Marc Mariani",3000,"Chi@Min 01:00PM ET",1.977,"Chi"
"WR","Bryan Walters",3000,"Atl@Jax 01:00PM ET",6.800,"Jax"
"WR","Andre Roberts",3000,"Buf@Was 01:00PM ET",3.389,"Was"
"WR","Jacoby Jones",3000,"Den@Pit 04:25PM ET",-0.111,"Pit"
"WR","Riley Cooper",3000,"Ari@Phi 08:30PM ET",4.731,"Phi"
"RB","Boobie Dixon",3000,"Buf@Was 01:00PM ET",1.408,"Buf"
"WR","Jeremy Ross",3000,"GB@Oak 04:05PM ET",1.875,"Oak"
"RB","Dexter McCluster",3000,"Ten@NE 01:00PM ET",8.518,"Ten"
"RB","Fozzy Whittaker",3000,"Car@NYG 01:00PM ET",1.985,"Car"
"WR","Marcus Easley",3000,"Buf@Was 01:00PM ET",1.164,"Buf"
"RB","Matt Asiata",3000,"Chi@Min 01:00PM ET",2.892,"Min"
"RB","Taiwan Jones",3000,"GB@Oak 04:05PM ET",3.167,"Oak"
"WR","Charles Johnson",3000,"Chi@Min 01:00PM ET",1.973,"Min"
"WR","Deonte Thompson",3000,"Chi@Min 01:00PM ET",1.150,"Chi"
"WR","Dontrelle Inman",3000,"Mia@SD 04:25PM ET",5.645,"SD"
"RB","Joe Banyard",3000,"Atl@Jax 01:00PM ET",0.000,"Jax"
"TE","Charles Clay",3000,"Buf@Was 01:00PM ET",9.600,"Buf"
"RB","Travaris Cadet",3000,"Cin@SF 04:25PM ET",2.200,"SF"
"RB","Anthony Sherman",3000,"KC@Bal 01:00PM ET",0.254,"KC"
"RB","Will Tukuafu",3000,"Cle@Sea 04:05PM ET",0.600,"Sea"
"WR","Vincent Brown",3000,"Mia@SD 04:25PM ET",3.200,"SD"
"RB","Will Johnson",3000,"Den@Pit 04:25PM ET",0.946,"Pit"
"RB","Roy Helu Jr.",3000,"GB@Oak 04:05PM ET",2.700,"Oak"
"RB","Patrick DiMarco",3000,"Atl@Jax 01:00PM ET",2.638,"Atl"
"WR","Terrelle Pryor",3000,"Cle@Sea 04:05PM ET",0.000,"Cle"
"RB","Kenjon Barner",3000,"Ari@Phi 08:30PM ET",1.675,"Phi"
"RB","Zach Line",3000,"Chi@Min 01:00PM ET",2.038,"Min"
"WR","Griff Whalen",3000,"Hou@Ind 01:00PM ET",3.200,"Ind"
"WR","Brenton Bersin",3000,"Car@NYG 01:00PM ET",2.050,"Car"
"RB","Jonathan Grimes",3000,"Hou@Ind 01:00PM ET",5.591,"Hou"
"WR","Frankie Hammond Jr.",3000,"KC@Bal 01:00PM ET",-0.167,"KC"
"WR","Jaron Brown",3000,"Ari@Phi 08:30PM ET",2.223,"Ari"
"RB","Glenn Winston",3000,"Cle@Sea 04:05PM ET",-0.600,"Cle"
"WR","Keshawn Martin",3000,"Ten@NE 01:00PM ET",6.850,"NE"
"WR","Myles White",3000,"Car@NYG 01:00PM ET",0.933,"NYG"
"WR","B.J. Daniels",3000,"Cle@Sea 04:05PM ET",0.633,"Sea"
"RB","Jordan Todman",3000,"Den@Pit 04:25PM ET",0.200,"Pit"
"WR","Jarius Wright",3000,"Chi@Min 01:00PM ET",4.700,"Min"
"WR","Damaris Johnson",3000,"Ten@NE 01:00PM ET",0.600,"NE"
"RB","Knile Davis",3000,"KC@Bal 01:00PM ET",1.473,"KC"
"WR","Ryan Grant",3000,"Buf@Was 01:00PM ET",3.485,"Was"
"RB","Rex Burkhead",3000,"Cin@SF 04:25PM ET",1.769,"Cin"
"RB","Kendall Gaskins",3000,"Cin@SF 04:25PM ET",1.050,"SF"
"RB","Nikita Whitlock",3000,"Car@NYG 01:00PM ET",0.000,"NYG"
"RB","Kyle Juszczyk",3000,"KC@Bal 01:00PM ET",4.885,"Bal"
"RB","Stepfan Taylor",3000,"Ari@Phi 08:30PM ET",0.469,"Ari"
"RB","Kerwynn Williams",3000,"Ari@Phi 08:30PM ET",4.133,"Ari"
"RB","Brandon Wegher",3000,"Car@NYG 01:00PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Car@NYG 01:00PM ET",0.000,"Car"
"RB","Mike Gillislee",3000,"Buf@Was 01:00PM ET",7.800,"Buf"
"RB","Chris Thompson",3000,"Buf@Was 01:00PM ET",7.500,"Was"
"RB","Fitzgerald Toussaint",3000,"Den@Pit 04:25PM ET",0.600,"Pit"
"WR","Bennie Fowler",3000,"Den@Pit 04:25PM ET",2.515,"Den"
"WR","Jared Abbrederis",3000,"GB@Oak 04:05PM ET",1.757,"GB"
"WR","Nick Williams",3000,"Atl@Jax 01:00PM ET",4.082,"Atl"
"WR","Marlon Brown",3000,"KC@Bal 01:00PM ET",2.520,"Bal"
"WR","Chris Matthews",3000,"KC@Bal 01:00PM ET",1.250,"Bal"
"TE","Crockett Gillmore",3000,"KC@Bal 01:00PM ET",10.120,"Bal"
"RB","Jay Prosch",3000,"Hou@Ind 01:00PM ET",0.238,"Hou"
"RB","Jalston Fowler",3000,"Ten@NE 01:00PM ET",1.608,"Ten"
"WR","Rashad Lawrence",3000,"Atl@Jax 01:00PM ET",0,"Jax"
